,RK,NAME,TEAM,SALARY,Year
30,349,Jake Layman,Portland Trail Blazers,"$1,544,951",2019
31,350,Quinn Cook,Golden State Warriors,"$1,544,951",2019
32,RK,NAME,TEAM,SALARY,2019
33,351,Ivica Zubac,Los Angeles Lakers,"$1,544,951",2019
34,352,Rodney McGruder,Miami Heat,"$1,544,951",2019
35,353,Wade Baldwin IV,Portland Trail Blazers,"$1,544,951",2019
36,354,Malcolm Brogdon,Milwaukee Bucks,"$1,544,951",2019
37,355,Andrew Harrison,Memphis Grizzlies,"$1,544,951",2019
38,356,Dorian Finney-Smith,Dallas Mavericks,"$1,544,951",2019
39,357,Wayne Selden,Memphis Grizzlies,"$1,544,951",2019
40,358,Paul Zipser,Chicago Bulls,"$1,544,951",2019
41,359,Damian Jones,Golden State Warriors,"$1,544,951",2019
42,360,Skal Labissiere,Sacramento Kings,"$1,544,951",2019
0,361,Alex Poythress,Atlanta Hawks,"$1,544,951",2019
1,362,Shelvin Mack,Charlotte Hornets,"$1,512,601",2019
2,363,Omri Casspi,Memphis Grizzlies,"$1,512,601",2019
3,364,Georges Niang,Utah Jazz,"$1,512,601",2019
4,365,Raymond Felton,Oklahoma City Thunder,"$1,512,601",2019
5,366,Quincy Pondexter,San Antonio Spurs,"$1,512,601",2019
6,367,Troy Williams,Sacramento Kings,"$1,512,601",2019
7,368,Carmelo Anthony,Houston Rockets,"$1,512,601",2019
8,369,Jamal Crawford,Phoenix Suns,"$1,512,601",2019
9,370,Amir Johnson,Philadelphia 76ers,"$1,512,601",2019
10,RK,NAME,TEAM,SALARY,2019
11,371,David Nwaba,Cleveland Cavaliers,"$1,512,601",2019
12,372,Luol Deng,Minnesota Timberwolves,"$1,512,601",2019
13,373,Isaiah Canaan,Phoenix Suns,"$1,512,601",2019
14,374,Dwyane Wade,Miami Heat,"$1,512,601",2019
15,375,Derrick Jones Jr.,Miami Heat,"$1,512,601",2019
16,376,Udonis Haslem,Miami Heat,"$1,512,601",2019
17,377,JaVale McGee,Los Angeles Lakers,"$1,512,601",2019
18,378,Isaiah Thomas,Denver Nuggets,"$1,512,601",2019
19,379,Jeff Green,Washington Wizards,"$1,512,601",2019
20,380,Kevon Looney,Golden State Warriors,"$1,512,601",2019
21,RK,NAME,TEAM,SALARY,2019
22,381,Jonas Jerebko,Golden State Warriors,"$1,512,601",2019
23,382,Derrick Rose,Minnesota Timberwolves,"$1,512,601",2019
24,383,Christian Wood,Milwaukee Bucks,"$1,512,601",2019
25,384,Jose Calderon,Detroit Pistons,"$1,512,601",2019
26,385,Zaza Pachulia,Detroit Pistons,"$1,512,601",2019
27,386,Gerald Green,Houston Rockets,"$1,512,601",2019
28,387,Noah Vonleh,New York Knicks,"$1,512,601",2019
29,388,Devin Harris,Dallas Mavericks,"$1,512,601",2019
30,389,Channing Frye,Cleveland Cavaliers,"$1,512,601",2019
31,390,Ian Clark,New Orleans Pelicans,"$1,512,601",2019
32,RK,NAME,TEAM,SALARY,2019
33,391,Treveon Graham,Brooklyn Nets,"$1,512,601",2019
34,392,Vince Carter,Atlanta Hawks,"$1,512,601",2019
35,393,Sviatoslav Mykhailiuk,Los Angeles Lakers,"$1,487,694",2019
36,394,Mitchell Robinson,New York Knicks,"$1,485,440",2019
37,395,Dwayne Bacon,Charlotte Hornets,"$1,378,242",2019
38,396,Dakari Johnson,Memphis Grizzlies,"$1,378,242",2019
